,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
93,Сдавленность в груди,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5
94,Слабость,,,,,1,,,,,,1,,1,1,,,,,,1,,1,,,,,,1,,1,1,1,1,,,1,1,1,,,,,,,1,1,,1,,1,1,1,,1,,1,1,1,,1,,1,,1,,,,,,,,1,,,1,1,,,,1,,,1,,,,1,,1,,,,1,1,1,1,,,1,,1,1,1,1,,,1,,1,,,1,,1,,38
95,Слабость в одной стороне тела,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
96,Снижение рефлексов,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
97,Социальная изоляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
98,Темная моча,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
99,Тошнота,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,1,,,,,,,15
100,Увеличение живота,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
101,Увеличение лимфатических узлов,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
102,Уплотнение кожи,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5
103,Утомляемость,,,,,1,,,1,,,,,1,1,,,1,1,,1,1,1,,,,,,1,,1,1,1,,1,1,,1,,1,,,1,1,,1,1,,1,,,1,1,,1,,1,1,1,,1,1,,,1,,1,,1,,,1,,1,,1,1,1,1,,1,,,1,1,1,,1,,1,,,,1,,,,,1,1,,,1,1,1,,,,,,,,1,,1,,47
104,Ухудшение зрения,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,7
105,Учащённое сердцебиение,,,,,1,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
106,Частая жидкая дефекация,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,6
107,Частое мочеиспускание,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,5
108,Чихание,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
109,Эпизоды депрессии,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
110,Эпилептические припадки или судороги,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,4
,Количество симптомов:,8,6,8,6,6,4,5,9,4,5,9,5,10,10,10,6,8,6,7,11,7,9,6,6,5,5,7,6,7,6,7,8,8,5,6,11,7,5,6,5,4,14,6,4,5,9,5,8,11,6,6,15,6,10,6,8,14,12,6,13,6,5,6,5,5,5,7,6,5,6,6,6,11,5,10,9,6,6,10,6,8,5,5,6,5,7,9,7,8,5,11,6,6,10,7,10,5,5,9,8,6,11,5,6,6,5,6,5,6,7,6,10,8,8,6,/
,Приуроченность к полу,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,/
